Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,0,partie,part
1,1,1,1,1,histoire,history
2,2,2,2,2,chercher,search
3,4,4,4,4,police,police
4,5,5,5,5,pensais,thought
7,8,8,8,8,genre,kind
8,9,9,9,9,mois,month
9,10,10,10,10,laisser,let
10,11,11,11,12,mettre,to put
11,12,12,12,13,aucun,no
12,13,13,13,14,laisse,leash
13,14,14,14,15,eux,them
14,15,15,15,16,ville,city
15,16,16,16,17,chaque,each
16,17,17,17,18,parlé,speak
17,18,18,19,20,devrait,should
19,21,21,22,23,heures,hours
20,22,22,23,24,vont,will
21,23,23,24,25,pendant,while
22,24,24,25,26,revoir,meet again
23,25,25,26,27,aucune,any
24,26,26,27,28,place,square
25,27,27,28,29,parle,speak
26,28,28,29,30,compris,understood
27,29,29,30,31,savais,knew
28,30,30,31,32,étaient,were
29,31,31,32,33,attention,Warning
30,33,33,34,35,pourrais,could
31,34,34,35,36,affaire,case
33,36,36,37,38,type,type
34,37,37,38,39,leurs,their
35,38,38,39,40,donné,given
37,40,40,41,42,corps,body
38,41,41,43,44,yeux,eyes
39,42,42,44,45,façon,way
42,45,45,47,48,trouve,find
43,46,46,49,50,perdu,lost
44,47,47,51,52,première,first
45,48,48,52,53,côté,side
46,49,49,53,54,pouvoir,power
49,52,52,56,57,tiens,here
50,53,53,57,58,matin,morning
51,54,54,58,59,tellement,so much
52,55,55,59,60,enfant,child
54,57,57,61,62,venu,came
55,58,58,62,63,suite,after
56,59,59,63,64,pardon,sorry
57,60,60,64,65,venez,come
58,61,61,65,66,devant,in front of
60,63,63,67,68,minutes,minutes
62,65,65,69,70,chambre,bedroom
64,67,67,71,72,belle,beautiful
65,68,68,72,73,droit,law
66,69,69,73,74,aimerais,would like to
67,70,70,74,75,aujourd'hui,today
68,71,71,75,76,mari,husband
69,72,72,76,77,cause,cause
70,73,73,77,78,enfin,finally
71,74,74,78,79,espère,hope
72,75,75,79,80,eau,water
74,77,77,81,82,parti,left
75,78,78,82,83,nouvelle,new
78,82,83,87,88,compte,account
79,83,84,88,89,donne,given
80,84,85,89,90,loin,far
82,86,87,91,92,croire,believe
83,87,88,92,93,chérie,sweetheart
84,88,89,93,94,gros,large
85,89,90,94,95,plutôt,rather
86,90,91,95,96,aura,will have
87,92,93,97,98,jouer,to play
88,93,94,98,99,bureau,office
